"nr_num_consultations_phys","d_completed","cd_regio"
"6","2020-03-19","VLA"
"16","2020-03-19","VLA"
"11","2020-03-19","VLA"
"15","2020-03-19","VLA"
"2","2020-03-19","WAL"
"20","2020-03-19","VLA"
"18","2020-03-19","VLA"
"5","2020-03-19","VLA"
"9","2020-03-19","VLA"
"4","2020-03-19","VLA"
"5","2020-03-19","VLA"
"3","2020-03-19","VLA"
"7","2020-03-19","VLA"
"3","2020-03-19","VLA"
"30","2020-03-19","VLA"
"10","2020-03-19","VLA"
"11","2020-03-19","VLA"
"1","2020-03-19","VLA"
"10","2020-03-19","VLA"
"3","2020-03-19","WAL"
"0","2020-03-19","VLA"
"35","2020-03-19","VLA"
"16","2020-03-19","VLA"
"20","2020-03-19","VLA"
"17","2020-03-19","VLA"
"18","2020-03-19","VLA"
"17","2020-03-19","VLA"
"0","2020-03-19","WAL"
"6","2020-03-19","VLA"
"10","2020-03-19","VLA"
"5","2020-03-19","VLA"
"4","2020-03-19","VLA"
"12","2020-03-19","VLA"
"7","2020-03-19","VLA"
"5","2020-03-19","VLA"
"0","2020-03-19","WAL"
"22","2020-03-19","VLA"
"22","2020-03-19","VLA"
"10","2020-03-19","VLA"
"8","2020-03-19","VLA"
"4","2020-03-19","VLA"
"6","2020-03-19","VLA"
"8","2020-03-19","VLA"
"3","2020-03-19","VLA"
"0","2020-03-19","WAL"
"16","2020-03-19","VLA"
"0","2020-03-19","WAL"
"17","2020-03-19","VLA"
"5","2020-03-19","VLA"
"6","2020-03-19","BRU"
"5","2020-03-19","VLA"
"1","2020-03-19","WAL"
"3","2020-03-19","VLA"
"22","2020-03-19","VLA"
"20","2020-03-19","VLA"
"20","2020-03-19","VLA"
"4","2020-03-19","WAL"
"12","2020-03-19","BRU"
"3","2020-03-19","VLA"
"4","2020-03-19","VLA"
"15","2020-03-19","VLA"
"14","2020-03-19","VLA"
"18","2020-03-19","VLA"
"4","2020-03-19","VLA"
"13","2020-03-19","VLA"
"15","2020-03-19","VLA"
"6","2020-03-19","WAL"
"9","2020-03-19","VLA"
"5","2020-03-19","WAL"
"45","2020-03-19","VLA"
"59","2020-03-19","VLA"
"9","2020-03-19","WAL"
"4","2020-03-19","WAL"
"18","2020-03-19","VLA"
"15","2020-03-19","VLA"
"8","2020-03-19","VLA"
"10","2020-03-19","WAL"
"6","2020-03-19","WAL"
"18","2020-03-19","VLA"
"3","2020-03-19","VLA"
"0","2020-03-19","WAL"
"14","2020-03-19","VLA"
"0","2020-03-19","VLA"
"21","2020-03-19","VLA"
"25","2020-03-19","VLA"
"20","2020-03-19","VLA"
"3","2020-03-19","VLA"
"8","2020-03-19","WAL"
"14","2020-03-19","VLA"
"10","2020-03-19","VLA"
"12","2020-03-19","VLA"
"2","2020-03-19","VLA"
"12","2020-03-19","VLA"
"15","2020-03-19","VLA"
"8","2020-03-19","VLA"
"65","2020-03-19","VLA"
"7","2020-03-19","VLA"
"5","2020-03-19","VLA"
"16","2020-03-19","VLA"
"20","2020-03-19","VLA"
"7","2020-03-19","VLA"
"14","2020-03-19","VLA"
"15","2020-03-19","WAL"
"8","2020-03-19","VLA"
"15","2020-03-19","WAL"
"7","2020-03-19","VLA"
"33","2020-03-19","VLA"
