"nr_num_cra_beds_available","d_completed","cd_regio"
"196","2020-03-23","VLA"
"154","2020-03-23","VLA"
"178","2020-03-23","VLA"
"114","2020-03-23","VLA"
"94","2020-03-23","VLA"
"90","2020-03-23","VLA"
"110","2020-03-23","VLA"
"78","2020-03-23","VLA"
"110","2020-03-23","VLA"
"90","2020-03-23","VLA"
"124","2020-03-23","VLA"
"220","2020-03-23","VLA"
"120","2020-03-23","VLA"
"60","2020-03-23","VLA"
"145","2020-03-23","WAL"
"15","2020-03-23","BRU"
"144","2020-03-23","VLA"
"160","2020-03-23","VLA"
"100","2020-03-23","WAL"
"180","2020-03-23","VLA"
"175","2020-03-23","VLA"
"122","2020-03-23","WAL"
"138","2020-03-23","VLA"
"0","2020-03-23","VLA"
"132","2020-03-23","VLA"
"200","2020-03-23","VLA"
"210","2020-03-23","VLA"
"110","2020-03-23","VLA"
"155","2020-03-23","VLA"
"110","2020-03-23","VLA"
"125","2020-03-23","VLA"
"131","2020-03-23","VLA"
"99","2020-03-23","VLA"
"180","2020-03-23","VLA"
"0","2020-03-23","BRU"
"100","2020-03-23","VLA"
"154","2020-03-23","VLA"
"135","2020-03-23","VLA"
"0","2020-03-23","WAL"
"121","2020-03-23","VLA"
"108","2020-03-23","VLA"
"96","2020-03-23","VLA"
"102","2020-03-23","VLA"
"88","2020-03-23","VLA"
"93","2020-03-23","VLA"
"40","2020-03-23","VLA"
"300","2020-03-23","VLA"
"120","2020-03-23","VLA"
"58","2020-03-23","VLA"
"120","2020-03-23","VLA"
"150","2020-03-23","VLA"
"120","2020-03-23","VLA"
"25","2020-03-23","VLA"
"301","2020-03-23","VLA"
"116","2020-03-23","VLA"
"260","2020-03-23","VLA"
"76","2020-03-23","VLA"
"1","2020-03-24","VLA"
"158","2020-03-24","VLA"
"72","2020-03-24","VLA"
"59","2020-03-24","VLA"
"70","2020-03-24","VLA"
"92","2020-03-24","VLA"
"54","2020-03-24","VLA"
"98","2020-03-24","VLA"
"105","2020-03-24","VLA"
"88","2020-03-24","VLA"
"0","2020-03-24","WAL"
"155","2020-03-24","VLA"
"145","2020-03-24","VLA"
"76","2020-03-24","VLA"
"154","2020-03-24","VLA"
"180","2020-03-24","VLA"
"156","2020-03-24","VLA"
"123","2020-03-24","VLA"
"190","2020-03-24","VLA"
"155","2020-03-24","VLA"
"145","2020-03-24","VLA"
"6","2020-03-24","VLA"
"176","2020-03-24","VLA"
"60","2020-03-24","VLA"
"54","2020-03-24","VLA"
"105","2020-03-24","VLA"
"42","2020-03-24","VLA"
"63","2020-03-24","VLA"
"129","2020-03-24","VLA"
"93","2020-03-24","VLA"
"190","2020-03-24","VLA"
"65","2020-03-24","VLA"
"132","2020-03-24","VLA"
"110","2020-03-24","VLA"
"90","2020-03-24","VLA"
"77","2020-03-24","VLA"
"90","2020-03-24","VLA"
"63","2020-03-24","VLA"
"100","2020-03-24","VLA"
"113","2020-03-24","VLA"
"105","2020-03-24","VLA"
"60","2020-03-24","VLA"
"0","2020-03-24","WAL"
"178","2020-03-24","VLA"
"77","2020-03-24","VLA"
"120","2020-03-24","VLA"
"146","2020-03-24","VLA"
"124","2020-03-24","VLA"
"100","2020-03-24","VLA"
"260","2020-03-24","VLA"
"58","2020-03-24","VLA"
"78","2020-03-24","VLA"
"68","2020-03-24","VLA"
"136","2020-03-24","VLA"
"180","2020-03-24","VLA"
"116","2020-03-24","VLA"
"130","2020-03-24","VLA"
"115","2020-03-24","VLA"
"96","2020-03-24","VLA"
"193","2020-03-24","VLA"
"144","2020-03-24","VLA"
"92","2020-03-24","VLA"
"0","2020-03-24","VLA"
"71","2020-03-24","VLA"
"4","2020-03-24","VLA"
"150","2020-03-24","VLA"
"155","2020-03-24","VLA"
"0","2020-03-24","VLA"
"100","2020-03-24","VLA"
"85","2020-03-24","VLA"
"155","2020-03-24","VLA"
"0","2020-03-24","WAL"
"210","2020-03-24","VLA"
"122","2020-03-24","VLA"
"186","2020-03-24","VLA"
"60","2020-03-24","VLA"
"104","2020-03-24","WAL"
"98","2020-03-24","VLA"
"76","2020-03-24","VLA"
"220","2020-03-24","VLA"
"58","2020-03-24","VLA"
"102","2020-03-24","VLA"
"120","2020-03-24","VLA"
"119","2020-03-24","WAL"
"75","2020-03-24","VLA"
"90","2020-03-24","VLA"
