"nr_num_cra_providers","d_completed","cd_regio"
"36","2020-03-23","VLA"
"40","2020-03-23","VLA"
"260","2020-03-23","VLA"
"80","2020-03-23","VLA"
"57","2020-03-23","VLA"
"1","2020-03-23","VLA"
"100","2020-03-23","VLA"
"25","2020-03-23","WAL"
"6","2020-03-23","BRU"
"2","2020-03-23","BRU"
"110","2020-03-23","VLA"
"73","2020-03-23","VLA"
"72","2020-03-23","VLA"
"100","2020-03-23","VLA"
"50","2020-03-23","VLA"
"45","2020-03-23","VLA"
"71","2020-03-23","VLA"
"106","2020-03-23","VLA"
"100","2020-03-23","VLA"
"0","2020-03-23","VLA"
"86","2020-03-23","VLA"
"73","2020-03-23","VLA"
"21","2020-03-23","VLA"
"65","2020-03-23","VLA"
"31","2020-03-23","VLA"
"60","2020-03-23","VLA"
"60","2020-03-23","VLA"
"60","2020-03-23","VLA"
"75","2020-03-23","VLA"
"80","2020-03-23","VLA"
"230","2020-03-23","VLA"
"75","2020-03-23","VLA"
"0","2020-03-23","WAL"
"90","2020-03-23","VLA"
"1","2020-03-23","VLA"
"68","2020-03-23","VLA"
"110","2020-03-23","VLA"
"70","2020-03-23","VLA"
"2","2020-03-23","VLA"
"25","2020-03-23","VLA"
"45","2020-03-23","VLA"
"92","2020-03-23","VLA"
"80","2020-03-23","VLA"
"178","2020-03-23","VLA"
"200","2020-03-23","VLA"
"1","2020-03-23","WAL"
"100","2020-03-23","VLA"
"50","2020-03-23","VLA"
"20","2020-03-23","VLA"
"100","2020-03-23","WAL"
"80","2020-03-23","VLA"
"60","2020-03-23","VLA"
"75","2020-03-23","VLA"
"40","2020-03-23","VLA"
"60","2020-03-23","VLA"
"51","2020-03-23","VLA"
"121","2020-03-23","VLA"
"65","2020-03-24","VLA"
"49","2020-03-24","VLA"
"70","2020-03-24","VLA"
"43","2020-03-24","VLA"
"2","2020-03-24","VLA"
"72","2020-03-24","VLA"
"60","2020-03-24","VLA"
"41","2020-03-24","VLA"
"145","2020-03-24","VLA"
"50","2020-03-24","VLA"
"23","2020-03-24","VLA"
"75","2020-03-24","VLA"
"1","2020-03-24","VLA"
"70","2020-03-24","VLA"
"70","2020-03-24","VLA"
"29","2020-03-24","VLA"
"71","2020-03-24","VLA"
"39","2020-03-24","VLA"
"85","2020-03-24","VLA"
"70","2020-03-24","VLA"
"85","2020-03-24","VLA"
"50","2020-03-24","VLA"
"110","2020-03-24","VLA"
"27","2020-03-24","VLA"
"120","2020-03-24","VLA"
"66","2020-03-24","VLA"
"43","2020-03-24","VLA"
"90","2020-03-24","VLA"
"70","2020-03-24","VLA"
"60","2020-03-24","VLA"
"98","2020-03-24","VLA"
"35","2020-03-24","VLA"
"107","2020-03-24","VLA"
"60","2020-03-24","VLA"
"23","2020-03-24","VLA"
"27","2020-03-24","VLA"
"70","2020-03-24","VLA"
"90","2020-03-24","VLA"
"50","2020-03-24","VLA"
"30","2020-03-24","VLA"
"260","2020-03-24","VLA"
"72","2020-03-24","VLA"
"96","2020-03-24","VLA"
"45","2020-03-24","VLA"
"65","2020-03-24","VLA"
"70","2020-03-24","VLA"
"60","2020-03-24","VLA"
"147","2020-03-24","VLA"
"73","2020-03-24","VLA"
"100","2020-03-24","VLA"
"37","2020-03-24","VLA"
"200","2020-03-24","VLA"
"45","2020-03-24","VLA"
"70","2020-03-24","VLA"
"6","2020-03-24","VLA"
"71","2020-03-24","VLA"
"90","2020-03-24","VLA"
"70","2020-03-24","VLA"
"2","2020-03-24","WAL"
"45","2020-03-24","VLA"
"36","2020-03-24","VLA"
"330","2020-03-24","VLA"
"56","2020-03-24","VLA"
"47","2020-03-24","VLA"
"30","2020-03-24","VLA"
"33","2020-03-24","VLA"
"25","2020-03-24","VLA"
"1","2020-03-24","VLA"
"50","2020-03-24","VLA"
"80","2020-03-24","VLA"
"10","2020-03-24","VLA"
"100","2020-03-24","VLA"
"85","2020-03-24","VLA"
"2","2020-03-24","VLA"
"16","2020-03-24","VLA"
"150","2020-03-24","VLA"
"40","2020-03-24","VLA"
"57","2020-03-24","VLA"
"28","2020-03-24","VLA"
"90","2020-03-24","VLA"
"120","2020-03-24","VLA"
"68","2020-03-24","VLA"
"90","2020-03-24","VLA"
"27.88","2020-03-24","VLA"
"150","2020-03-24","VLA"
"33","2020-03-24","VLA"
"85","2020-03-24","VLA"
"46","2020-03-24","VLA"
"50","2020-03-24","VLA"
"100","2020-03-24","VLA"
"10","2020-03-24","VLA"
"45","2020-03-24","VLA"
"200","2020-03-24","VLA"
"31","2020-03-24","VLA"
"57","2020-03-24","VLA"
"33.76","2020-03-24","VLA"
"60","2020-03-24","VLA"
"200","2020-03-24","VLA"
"87.90","2020-03-24","VLA"
"28","2020-03-24","VLA"
"53","2020-03-24","VLA"
"100","2020-03-24","VLA"
"4","2020-03-24","WAL"
"90","2020-03-24","VLA"
"110","2020-03-24","VLA"
"47","2020-03-24","VLA"
"50","2020-03-24","VLA"
"80","2020-03-24","VLA"
"45","2020-03-24","VLA"
"0","2020-03-24","VLA"
"250","2020-03-24","VLA"
"15.19","2020-03-24","VLA"
"48","2020-03-24","VLA"
"150","2020-03-24","VLA"
