"nr_num_alc_hand_disinfectant","d_completed","cd_regio"
"","2020-04-10","VLA"
"24","2020-04-14","VLA"
"","2020-04-15","VLA"
"1118","2020-04-15","VLA"
"118","2020-04-15","VLA"
"50","2020-04-15","VLA"
"58","2020-04-15","BRU"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"80","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"30","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"5","2020-04-15","VLA"
"68","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1440","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"509","2020-04-15","VLA"
"0","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"45","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"356","2020-04-15","VLA"
"","2020-04-15","VLA"
"100","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"85","2020-04-15","VLA"
"","2020-04-15","VLA"
"1100","2020-04-15","VLA"
"30","2020-04-15","VLA"
"20","2020-04-15","VLA"
"","2020-04-16","VLA"
"","2020-04-17","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"567","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"50","2020-04-22","VLA"
"45","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1451","2020-04-22","VLA"
"30","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"100","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"","2020-04-22","VLA"
"100","2020-04-22","VLA"
"","2020-04-22","VLA"
"55","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"10","2020-04-22","VLA"
"377","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"49","2020-04-22","BRU"
"1150","2020-04-22","VLA"
"50","2020-04-22","VLA"
"50","2020-04-22","VLA"
"100","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1089","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-23","VLA"
"5","2020-04-23","VLA"
"10","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"10","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"0","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"0","2020-05-06","VLA"
