"nr_num_infection_gloves","d_completed","cd_regio"
"","2020-04-10","VLA"
"15","2020-04-14","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"300","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1440","2020-04-15","VLA"
"","2020-04-15","VLA"
"58","2020-04-15","BRU"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"50","2020-04-15","VLA"
"300","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"8","2020-04-15","VLA"
"200","2020-04-15","VLA"
"85","2020-04-15","VLA"
"","2020-04-15","VLA"
"20","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"60","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"60","2020-04-15","VLA"
"","2020-04-15","VLA"
"1118","2020-04-15","VLA"
"","2020-04-15","VLA"
"5","2020-04-15","VLA"
"500","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"356","2020-04-15","VLA"
"","2020-04-15","VLA"
"13","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1100","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"509","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-16","VLA"
"","2020-04-17","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"4","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1150","2020-04-22","VLA"
"200","2020-04-22","VLA"
"19","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"50","2020-04-22","VLA"
"","2020-04-22","VLA"
"150","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1089","2020-04-22","VLA"
"4","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1451","2020-04-22","VLA"
"","2020-04-22","VLA"
"60","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"200","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"377","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"5","2020-04-22","VLA"
"500","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"567","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"16","2020-04-22","VLA"
"","2020-04-22","VLA"
"300","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"300","2020-04-22","VLA"
"50","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"10","2020-04-22","VLA"
"","2020-04-22","VLA"
"300","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"30","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"5","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"49","2020-04-22","BRU"
"","2020-04-22","VLA"
"13","2020-04-22","VLA"
"10","2020-04-22","VLA"
"40","2020-04-22","VLA"
"0","2020-04-23","VLA"
"5","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"15","2020-04-29","VLA"
"300","2020-04-29","VLA"
"","2020-04-29","VLA"
"10","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-05-06","VLA"
