"nr_num_surgical_masks","d_completed","cd_regio"
"","2020-04-10","VLA"
"","2020-04-14","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"2000","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1000","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"500","2020-04-15","VLA"
"33540","2020-04-15","VLA"
"1740","2020-04-15","BRU"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"33.240","2020-04-15","VLA"
"800","2020-04-15","VLA"
"720","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1300","2020-04-15","VLA"
"350","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"10680","2020-04-15","VLA"
"43400","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"2025","2020-04-15","VLA"
"","2020-04-15","VLA"
"500","2020-04-15","VLA"
"","2020-04-15","VLA"
"15270","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"2000","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"3000","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1200","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"100","2020-04-16","VLA"
"1000","2020-04-17","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-22","VLA"
"1200","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"500","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"17010","2020-04-22","VLA"
"","2020-04-22","VLA"
"1470","2020-04-22","BRU"
"200","2020-04-22","VLA"
"","2020-04-22","VLA"
"500","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1200","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"2000","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"200","2020-04-22","VLA"
"150","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"800","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"33850","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"500","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"1000","2020-04-22","VLA"
"","2020-04-22","VLA"
"2000","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"43350","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"11310","2020-04-22","VLA"
"","2020-04-22","VLA"
"32670","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"200","2020-04-23","VLA"
"200","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-23","VLA"
"500","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-05-06","VLA"
