"nr_num_consultations_phone","d_completed","cd_regio"
"38","2020-03-19","VLA"
"25","2020-03-19","VLA"
"5","2020-03-19","VLA"
"6","2020-03-19","VLA"
"4","2020-03-19","VLA"
"3","2020-03-19","VLA"
"30","2020-03-19","VLA"
"20","2020-03-19","WAL"
"13","2020-03-19","VLA"
"5","2020-03-19","VLA"
"5","2020-03-19","VLA"
"2","2020-03-19","VLA"
"4","2020-03-19","VLA"
"7","2020-03-19","WAL"
"8","2020-03-19","WAL"
"25","2020-03-19","WAL"
"19","2020-03-19","WAL"
"90","2020-03-19","VLA"
"5","2020-03-19","VLA"
"3","2020-03-19","VLA"
"5","2020-03-19","WAL"
"3","2020-03-19","VLA"
"10","2020-03-19","VLA"
"30","2020-03-19","VLA"
"7","2020-03-19","VLA"
"20","2020-03-19","WAL"
"12","2020-03-19","VLA"
"8","2020-03-19","VLA"
"6","2020-03-19","VLA"
"10","2020-03-19","VLA"
"45","2020-03-19","WAL"
"1","2020-03-19","VLA"
"21","2020-03-19","VLA"
"68","2020-03-19","WAL"
"35","2020-03-19","VLA"
"15","2020-03-19","VLA"
"8","2020-03-19","VLA"
"15","2020-03-19","VLA"
"20","2020-03-19","VLA"
"7","2020-03-19","VLA"
"19","2020-03-19","VLA"
"10","2020-03-19","VLA"
"60","2020-03-19","VLA"
"17","2020-03-19","VLA"
"10","2020-03-19","VLA"
"9","2020-03-19","VLA"
"30","2020-03-19","WAL"
"15","2020-03-19","VLA"
"4","2020-03-19","VLA"
"15","2020-03-19","VLA"
"4","2020-03-19","VLA"
"25","2020-03-19","VLA"
"19","2020-03-19","WAL"
"3","2020-03-19","VLA"
"75","2020-03-19","VLA"
"10","2020-03-19","VLA"
"13","2020-03-19","VLA"
"20","2020-03-19","VLA"
"10","2020-03-19","VLA"
"4","2020-03-19","VLA"
"15","2020-03-19","VLA"
"6","2020-03-19","VLA"
"25","2020-03-19","VLA"
"14","2020-03-19","VLA"
"42","2020-03-19","WAL"
"3","2020-03-19","VLA"
"18","2020-03-19","WAL"
"10","2020-03-19","WAL"
"8","2020-03-19","VLA"
"21","2020-03-19","WAL"
"4","2020-03-19","VLA"
"6","2020-03-19","VLA"
"20","2020-03-19","VLA"
"15","2020-03-19","VLA"
"15","2020-03-19","VLA"
"30","2020-03-19","VLA"
"22","2020-03-19","WAL"
"16","2020-03-19","VLA"
"25","2020-03-19","VLA"
"28","2020-03-19","WAL"
"5","2020-03-19","VLA"
"10","2020-03-19","VLA"
"40","2020-03-19","BRU"
"3","2020-03-19","VLA"
"15","2020-03-19","VLA"
"8","2020-03-19","VLA"
"6","2020-03-19","VLA"
"14","2020-03-19","VLA"
"15","2020-03-19","VLA"
"15","2020-03-19","VLA"
"10","2020-03-19","VLA"
"20","2020-03-19","WAL"
"24","2020-03-19","VLA"
"15","2020-03-19","VLA"
"10","2020-03-19","VLA"
"7","2020-03-19","WAL"
"12","2020-03-19","VLA"
"4","2020-03-19","VLA"
"23","2020-03-19","VLA"
"11","2020-03-19","VLA"
"30","2020-03-19","VLA"
"15","2020-03-19","VLA"
"10","2020-03-19","VLA"
"10","2020-03-19","VLA"
"15","2020-03-19","WAL"
"40","2020-03-19","VLA"
"9","2020-03-19","BRU"
"6","2020-03-19","VLA"
"7","2020-03-19","VLA"
"20","2020-03-19","VLA"
"12","2020-03-19","VLA"
"50","2020-03-19","VLA"
"12","2020-03-19","VLA"
"17","2020-03-19","WAL"
"106","2020-03-19","VLA"
"14","2020-03-19","VLA"
"3","2020-03-19","VLA"
"3","2020-03-19","VLA"
"7","2020-03-19","VLA"
"21","2020-03-19","VLA"
"9","2020-03-19","VLA"
"6","2020-03-19","VLA"
"13","2020-03-19","VLA"
"20","2020-03-19","VLA"
"35","2020-03-19","VLA"
"15","2020-03-19","VLA"
"24","2020-03-20","VLA"
"24","2020-03-20","WAL"
"27","2020-03-20","VLA"
"17","2020-03-20","VLA"
"11","2020-03-20","VLA"
"9","2020-03-20","VLA"
"46","2020-03-20","VLA"
"10","2020-03-20","VLA"
"7","2020-03-20","WAL"
"4","2020-03-20","VLA"
"50","2020-03-20","VLA"
"152","2020-03-20","VLA"
"5","2020-03-20","VLA"
"16","2020-03-20","VLA"
"9","2020-03-20","VLA"
