"cd_province","d_completed","cd_regio"
"VWV","2020-04-06","VLA"
"VOV","2020-04-06","VLA"
"VLI","2020-04-06","VLA"
"VBR","2020-04-06","VLA"
"VLI","2020-04-06","VLA"
"VWV","2020-04-06","VLA"
"VOV","2020-04-06","VLA"
"VAN","2020-04-06","VLA"
"VBR","2020-04-06","VLA"
"VAN","2020-04-06","VLA"
"VAN","2020-04-06","VLA"
"VAN","2020-04-06","VLA"
"VWV","2020-04-06","VLA"
"VLI","2020-04-07","VLA"
"BBR","2020-04-07","BRU"
"VOV","2020-04-07","VLA"
"VBR","2020-04-07","VLA"
"VAN","2020-04-07","VLA"
"VOV","2020-04-07","VLA"
"VWV","2020-04-08","VLA"
"WHT","2020-04-08","WAL"
"WBR","2020-04-08","WAL"
"VAN","2020-04-08","VLA"
"VWV","2020-04-08","VLA"
"VBR","2020-04-08","VLA"
"VLI","2020-04-08","VLA"
"VBR","2020-04-08","VLA"
"WHT","2020-04-08","WAL"
"VLI","2020-04-08","VLA"
"VAN","2020-04-08","VLA"
"VOV","2020-04-08","VLA"
"VWV","2020-04-08","VLA"
"BBR","2020-04-08","BRU"
"VBR","2020-04-08","VLA"
"VOV","2020-04-08","VLA"
"VOV","2020-04-08","VLA"
"VWV","2020-04-09","VLA"
"VWV","2020-04-09","VLA"
"WBR","2020-04-09","WAL"
"WHT","2020-04-09","WAL"
"WHT","2020-04-10","WAL"
"WLG","2020-04-10","WAL"
"VOV","2020-04-13","VLA"
"VWV","2020-04-13","VLA"
"BBR","2020-04-13","BRU"
"VBR","2020-04-13","VLA"
"VOV","2020-04-13","VLA"
"VWV","2020-04-13","VLA"
"WHT","2020-04-13","WAL"
"VAN","2020-04-13","VLA"
"VLI","2020-04-13","VLA"
"VAN","2020-04-13","VLA"
"VWV","2020-04-13","VLA"
"VLI","2020-04-13","VLA"
"VBR","2020-04-13","VLA"
"VOV","2020-04-14","VLA"
"VAN","2020-04-14","VLA"
"VWV","2020-04-14","VLA"
"VLI","2020-04-14","VLA"
"VBR","2020-04-14","VLA"
"VLI","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"WHT","2020-04-15","WAL"
"VLI","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"BBR","2020-04-15","BRU"
"WHT","2020-04-15","WAL"
"VOV","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"WNA","2020-04-15","WAL"
"VWV","2020-04-15","VLA"
"WHT","2020-04-17","WAL"
"VWV","2020-04-20","VLA"
"BBR","2020-04-20","BRU"
"BBR","2020-04-20","BRU"
"VAN","2020-04-20","VLA"
"WHT","2020-04-20","WAL"
"WBR","2020-04-20","WAL"
"VAN","2020-04-20","VLA"
"WBR","2020-04-20","WAL"
"WNA","2020-04-20","WAL"
"VWV","2020-04-20","VLA"
"VBR","2020-04-20","VLA"
"WNA","2020-04-20","WAL"
"VWV","2020-04-20","VLA"
"WBR","2020-04-20","WAL"
"VOV","2020-04-20","VLA"
"VLI","2020-04-20","VLA"
"VBR","2020-04-20","VLA"
"VBR","2020-04-20","VLA"
"VWV","2020-04-20","VLA"
"VOV","2020-04-20","VLA"
"BBR","2020-04-20","BRU"
"VOV","2020-04-20","VLA"
"VLI","2020-04-20","VLA"
"VAN","2020-04-20","VLA"
"VLI","2020-04-20","VLA"
