"nr_num_cp_cohort_outside","d_completed","cd_regio"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"17","2020-04-07","BRU"
"0","2020-04-08","WAL"
"1","2020-04-08","WAL"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"3","2020-04-08","VLA"
"0","2020-04-08","VLA"
"4","2020-04-08","VLA"
"0","2020-04-08","VLA"
"5","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","BRU"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","WAL"
"0","2020-04-08","VLA"
"1","2020-04-09","WAL"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"0","2020-04-09","WAL"
"9","2020-04-10","WAL"
"0","2020-04-10","WAL"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"1","2020-04-13","VLA"
"0","2020-04-13","VLA"
"22","2020-04-13","BRU"
"4","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","WAL"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"1","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","WAL"
"0","2020-04-15","VLA"
"1","2020-04-15","VLA"
"0","2020-04-15","VLA"
"2","2020-04-15","VLA"
"1","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","WAL"
"0","2020-04-15","VLA"
"1","2020-04-15","VLA"
"0","2020-04-15","VLA"
"17","2020-04-15","BRU"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"5","2020-04-15","WAL"
"0","2020-04-17","WAL"
"1","2020-04-20","VLA"
"0","2020-04-20","WAL"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","WAL"
"2","2020-04-20","VLA"
"5","2020-04-20","BRU"
"2","2020-04-20","BRU"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"12","2020-04-20","VLA"
"1","2020-04-20","VLA"
"0","2020-04-20","WAL"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","WAL"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","BRU"
"0","2020-04-20","WAL"
"5","2020-04-20","VLA"
"0","2020-04-20","WAL"
