"nr_num_infection_aprons","d_completed","cd_regio"
"1","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"350","2020-04-06","VLA"
"3000","2020-04-06","VLA"
"150","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"50","2020-04-06","VLA"
"20","2020-04-07","VLA"
"150","2020-04-07","BRU"
"","2020-04-07","VLA"
"20","2020-04-07","VLA"
"","2020-04-07","VLA"
"50","2020-04-07","VLA"
"80","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"150","2020-04-08","VLA"
"","2020-04-08","VLA"
"500","2020-04-08","VLA"
"10","2020-04-08","WAL"
"20","2020-04-08","BRU"
"20","2020-04-08","VLA"
"20","2020-04-08","WAL"
"30","2020-04-08","VLA"
"","2020-04-08","VLA"
"45","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"150","2020-04-08","WAL"
"30","2020-04-09","WAL"
"","2020-04-09","VLA"
"10","2020-04-09","WAL"
"","2020-04-09","VLA"
"","2020-04-10","WAL"
"12","2020-04-10","WAL"
"","2020-04-13","VLA"
"100","2020-04-13","VLA"
"150","2020-04-13","WAL"
"","2020-04-13","VLA"
"30","2020-04-13","VLA"
"150","2020-04-13","BRU"
"","2020-04-13","VLA"
"300","2020-04-13","VLA"
"9000","2020-04-13","VLA"
"","2020-04-13","VLA"
"100","2020-04-13","VLA"
"","2020-04-13","VLA"
"150","2020-04-13","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-15","VLA"
"5","2020-04-15","WAL"
"120","2020-04-15","WAL"
"10","2020-04-15","BRU"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"50","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"8","2020-04-15","VLA"
"","2020-04-15","VLA"
"25","2020-04-15","VLA"
"","2020-04-15","VLA"
"9000","2020-04-15","VLA"
"25","2020-04-15","VLA"
"25","2020-04-15","VLA"
"","2020-04-15","VLA"
"150","2020-04-15","VLA"
"150","2020-04-15","WAL"
"50","2020-04-15","VLA"
"140","2020-04-17","WAL"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"25","2020-04-20","VLA"
"10","2020-04-20","BRU"
"25","2020-04-20","VLA"
"150","2020-04-20","WAL"
"10","2020-04-20","WAL"
"","2020-04-20","VLA"
"20","2020-04-20","BRU"
"50","2020-04-20","VLA"
"10","2020-04-20","WAL"
"","2020-04-20","WAL"
"9000","2020-04-20","VLA"
"","2020-04-20","VLA"
"50","2020-04-20","VLA"
"30","2020-04-20","WAL"
"8000","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"30","2020-04-20","WAL"
"4","2020-04-20","BRU"
"25","2020-04-20","VLA"
