"nr_num_infection_masks","d_completed","cd_regio"
"20","2020-04-06","VLA"
"70","2020-04-06","VLA"
"20","2020-04-06","VLA"
"6000","2020-04-06","VLA"
"","2020-04-06","VLA"
"90","2020-04-06","VLA"
"3000","2020-04-06","VLA"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"20","2020-04-06","VLA"
"1000","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"25","2020-04-07","VLA"
"20","2020-04-07","VLA"
"20","2020-04-07","VLA"
"100","2020-04-07","BRU"
"30","2020-04-07","VLA"
"390","2020-04-07","VLA"
"20","2020-04-08","WAL"
"20","2020-04-08","VLA"
"682","2020-04-08","VLA"
"1772","2020-04-08","VLA"
"1000","2020-04-08","VLA"
"1918","2020-04-08","VLA"
"207","2020-04-08","VLA"
"","2020-04-08","VLA"
"5","2020-04-08","WAL"
"80","2020-04-08","VLA"
"150","2020-04-08","VLA"
"50","2020-04-08","VLA"
"800","2020-04-08","VLA"
"","2020-04-08","WAL"
"20","2020-04-08","BRU"
"235","2020-04-08","VLA"
"45","2020-04-08","VLA"
"30","2020-04-09","WAL"
"3900","2020-04-09","VLA"
"2","2020-04-09","VLA"
"30","2020-04-09","WAL"
"12","2020-04-10","WAL"
"","2020-04-10","WAL"
"1000","2020-04-13","VLA"
"","2020-04-13","WAL"
"50","2020-04-13","BRU"
"30","2020-04-13","VLA"
"","2020-04-13","VLA"
"2500","2020-04-13","VLA"
"50","2020-04-13","VLA"
"100","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"3900","2020-04-13","VLA"
"20","2020-04-13","VLA"
"30","2020-04-13","VLA"
"1918","2020-04-14","VLA"
"1772","2020-04-14","VLA"
"235","2020-04-14","VLA"
"207","2020-04-14","VLA"
"682","2020-04-14","VLA"
"25","2020-04-15","VLA"
"","2020-04-15","WAL"
"50","2020-04-15","BRU"
"25","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"1000","2020-04-15","VLA"
"","2020-04-15","WAL"
"1772","2020-04-15","VLA"
"7","2020-04-15","VLA"
"682","2020-04-15","VLA"
"","2020-04-15","VLA"
"25","2020-04-15","VLA"
"8","2020-04-15","VLA"
"3900","2020-04-15","VLA"
"207","2020-04-15","VLA"
"","2020-04-15","VLA"
"3900","2020-04-15","VLA"
"50","2020-04-15","VLA"
"235","2020-04-15","VLA"
"50","2020-04-15","VLA"
"1918","2020-04-15","VLA"
"","2020-04-17","WAL"
"","2020-04-20","VLA"
"30","2020-04-20","BRU"
"","2020-04-20","WAL"
"25","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","VLA"
"","2020-04-20","BRU"
"","2020-04-20","WAL"
"7","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"50","2020-04-20","VLA"
"25","2020-04-20","VLA"
"2700","2020-04-20","VLA"
"","2020-04-20","VLA"
"2800","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"50","2020-04-20","WAL"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"25","2020-04-20","VLA"
"15","2020-04-20","BRU"
"50","2020-04-20","VLA"
