"nr_num_patients","d_completed","cd_regio"
"100","2020-04-06","VLA"
"160","2020-04-06","VLA"
"20","2020-04-06","VLA"
"510","2020-04-06","VLA"
"35","2020-04-06","VLA"
"8765","2020-04-06","VLA"
"65","2020-04-06","VLA"
"5624","2020-04-06","VLA"
"12076","2020-04-06","VLA"
"90","2020-04-06","VLA"
"80","2020-04-06","VLA"
"41","2020-04-06","VLA"
"45","2020-04-06","VLA"
"450","2020-04-07","VLA"
"150","2020-04-07","VLA"
"40","2020-04-07","VLA"
"2","2020-04-07","VLA"
"30","2020-04-07","VLA"
"180","2020-04-07","BRU"
"53","2020-04-08","WAL"
"2783","2020-04-08","VLA"
"489","2020-04-08","VLA"
"743","2020-04-08","BRU"
"2138","2020-04-08","VLA"
"4526","2020-04-08","VLA"
"1604","2020-04-08","VLA"
"2660","2020-04-08","VLA"
"103","2020-04-08","VLA"
"1065","2020-04-08","VLA"
"1137","2020-04-08","VLA"
"505","2020-04-08","VLA"
"674","2020-04-08","VLA"
"8503","2020-04-08","VLA"
"93","2020-04-08","WAL"
"2061","2020-04-08","VLA"
"32","2020-04-08","WAL"
"7752","2020-04-09","VLA"
"6","2020-04-09","WAL"
"113","2020-04-09","VLA"
"6","2020-04-09","WAL"
"40","2020-04-10","WAL"
"5","2020-04-10","WAL"
"1099","2020-04-13","VLA"
"7711","2020-04-13","VLA"
"502","2020-04-13","VLA"
"8787","2020-04-13","VLA"
"1654","2020-04-13","VLA"
"735","2020-04-13","BRU"
"8314","2020-04-13","VLA"
"6401","2020-04-13","VLA"
"29","2020-04-13","WAL"
"2202","2020-04-13","VLA"
"508","2020-04-13","VLA"
"4105","2020-04-13","VLA"
"2155","2020-04-13","VLA"
"2485","2020-04-14","VLA"
"73","2020-04-14","VLA"
"3108","2020-04-14","VLA"
"544","2020-04-14","VLA"
"836","2020-04-14","VLA"
"36","2020-04-15","WAL"
"489","2020-04-15","VLA"
"7979","2020-04-15","VLA"
"8","2020-04-15","WAL"
"2061","2020-04-15","VLA"
"4521","2020-04-15","VLA"
"78","2020-04-15","VLA"
"70","2020-04-15","VLA"
"2138","2020-04-15","VLA"
"840","2020-04-15","VLA"
"8314","2020-04-15","VLA"
"743","2020-04-15","BRU"
"16","2020-04-15","VLA"
"1065","2020-04-15","VLA"
"1604","2020-04-15","VLA"
"7979","2020-04-15","VLA"
"209","2020-04-15","WAL"
"110","2020-04-15","VLA"
"2470","2020-04-15","VLA"
"529","2020-04-15","VLA"
"1300","2020-04-15","VLA"
"3019","2020-04-15","VLA"
"119","2020-04-17","WAL"
"1099","2020-04-20","VLA"
"10","2020-04-20","WAL"
"37","2020-04-20","WAL"
"3043","2020-04-20","VLA"
"70","2020-04-20","VLA"
"10","2020-04-20","WAL"
"10","2020-04-20","WAL"
"1654","2020-04-20","VLA"
"2470","2020-04-20","VLA"
"735","2020-04-20","BRU"
"3","2020-04-20","BRU"
"836","2020-04-20","VLA"
"548","2020-04-20","VLA"
"502","2020-04-20","VLA"
"2155","2020-04-20","VLA"
"6381","2020-04-20","VLA"
"10","2020-04-20","WAL"
"8089","2020-04-20","VLA"
"5949","2020-04-20","VLA"
"8749","2020-04-20","VLA"
"4740","2020-04-20","VLA"
"74","2020-04-20","VLA"
"21","2020-04-20","WAL"
"2202","2020-04-20","VLA"
"15","2020-04-20","BRU"
