"nr_num_cp_cohort_inside","d_completed","cd_regio"
"15","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"5","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"25","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","WAL"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"8","2020-04-06","BRU"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","BRU"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","BRU"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"10","2020-04-06","VLA"
"6","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","VLA"
"2","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","BRU"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","WAL"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","BRU"
"0","2020-04-06","BRU"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","BRU"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","BRU"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"8","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"4","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","BRU"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"5","2020-04-06","VLA"
"0","2020-04-06","BRU"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
