"nr_num_infection_aprons","d_completed","cd_regio"
"60","2020-04-06","VLA"
"0","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"4","2020-04-06","VLA"
"30","2020-04-06","VLA"
"10","2020-04-06","VLA"
"6","2020-04-06","VLA"
"10","2020-04-06","VLA"
"60","2020-04-06","VLA"
"3","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"8","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"6","2020-04-06","VLA"
"4","2020-04-06","VLA"
"6","2020-04-06","VLA"
"20","2020-04-06","VLA"
"3","2020-04-06","VLA"
"12","2020-04-06","VLA"
"30","2020-04-06","VLA"
"15","2020-04-06","VLA"
"15","2020-04-06","VLA"
"18","2020-04-06","VLA"
"10","2020-04-06","VLA"
"30","2020-04-06","VLA"
"12","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"20","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"60","2020-04-06","VLA"
"5","2020-04-06","VLA"
"30","2020-04-06","VLA"
"4","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","BRU"
"2","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"40","2020-04-06","VLA"
"50","2020-04-06","VLA"
"10","2020-04-06","VLA"
"30","2020-04-06","VLA"
"12","2020-04-06","VLA"
"15","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"10","2020-04-06","VLA"
"30","2020-04-06","VLA"
"6","2020-04-06","VLA"
"10","2020-04-06","VLA"
"30","2020-04-06","VLA"
"540","2020-04-06","VLA"
"100","2020-04-06","VLA"
"7","2020-04-06","VLA"
"30","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"30","2020-04-06","VLA"
"15","2020-04-06","VLA"
"10","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"10","2020-04-06","VLA"
"0","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"50","2020-04-06","VLA"
"10","2020-04-06","VLA"
"30","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"50","2020-04-06","VLA"
"12","2020-04-06","VLA"
"2","2020-04-06","VLA"
"60","2020-04-06","VLA"
