"tx_hn_ind_postal_code","d_completed","cd_regio"
"9280","2020-04-06","VLA"
"2630","2020-04-06","VLA"
"9280","2020-04-06","VLA"
"1800","2020-04-06","VLA"
"9450","2020-04-06","VLA"
"3500","2020-04-06","VLA"
"2610","2020-04-06","VLA"
"1570","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"8000","2020-04-06","VLA"
"1785","2020-04-06","VLA"
"2820","2020-04-06","VLA"
"3850","2020-04-06","VLA"
"9100","2020-04-06","VLA"
"9340","2020-04-06","VLA"
"3800","2020-04-06","VLA"
"3500","2020-04-06","VLA"
"3510","2020-04-06","VLA"
"1540","2020-04-06","VLA"
"2530","2020-04-06","VLA"
"8720","2020-04-06","VLA"
"3293","2020-04-06","VLA"
"1730","2020-04-06","VLA"
"3150","2020-04-06","VLA"
"2980","2020-04-06","VLA"
"1730","2020-04-06","VLA"
"2470","2020-04-06","VLA"
"9320","2020-04-06","VLA"
"1785","2020-04-06","VLA"
"3530","2020-04-06","VLA"
"3018","2020-04-06","VLA"
"9940","2020-04-06","VLA"
"2360","2020-04-06","VLA"
"3040","2020-04-06","VLA"
"2860","2020-04-06","VLA"
"9620","2020-04-06","VLA"
"3461","2020-04-06","VLA"
"8480","2020-04-06","VLA"
"1930","2020-04-06","VLA"
"3220","2020-04-06","VLA"
"1745","2020-04-06","VLA"
"2340","2020-04-06","VLA"
"1601","2020-04-06","VLA"
"9112","2020-04-06","VLA"
"8970","2020-04-06","VLA"
"8750","2020-04-06","VLA"
"2400","2020-04-06","VLA"
"3590","2020-04-06","VLA"
"1785","2020-04-06","VLA"
"2275","2020-04-06","VLA"
"2260","2020-04-06","VLA"
"8432","2020-04-06","VLA"
"1755","2020-04-06","VLA"
"2860","2020-04-06","VLA"
"2550","2020-04-06","VLA"
"8560","2020-04-06","VLA"
"1750","2020-04-06","VLA"
"3000","2020-04-06","VLA"
"9990","2020-04-06","VLA"
"1750","2020-04-06","VLA"
"9700","2020-04-06","VLA"
"1790","2020-04-06","VLA"
"8500","2020-04-06","VLA"
"8490","2020-04-06","VLA"
"1540","2020-04-06","VLA"
"8480","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"3900","2020-04-06","VLA"
"1800","2020-04-06","VLA"
"9300","2020-04-06","VLA"
"3201","2020-04-06","VLA"
"2235","2020-04-06","VLA"
"9770","2020-04-06","VLA"
"3940","2020-04-06","VLA"
"2840","2020-04-06","VLA"
"3545","2020-04-06","VLA"
"9000","2020-04-06","VLA"
"9200","2020-04-06","VLA"
"1070","2020-04-06","BRU"
"3650","2020-04-06","VLA"
"1540","2020-04-06","VLA"
"9308","2020-04-06","VLA"
"3540","2020-04-06","VLA"
"3680","2020-04-06","VLA"
"8920","2020-04-06","VLA"
"2460","2020-04-06","VLA"
"8510","2020-04-06","VLA"
"8501","2020-04-06","VLA"
"8870","2020-04-06","VLA"
"8850","2020-04-06","VLA"
"3583","2020-04-06","VLA"
"3540","2020-04-06","VLA"
"3980","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"1880","2020-04-06","VLA"
"8670","2020-04-06","VLA"
"1740","2020-04-06","VLA"
"3090","2020-04-06","VLA"
"2547","2020-04-06","VLA"
"2800","2020-04-06","VLA"
"2980","2020-04-06","VLA"
"8900","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"8770","2020-04-06","VLA"
"3700","2020-04-06","VLA"
"1541","2020-04-06","VLA"
"9500","2020-04-06","VLA"
"1040","2020-04-06","BRU"
"9300","2020-04-06","VLA"
"1755","2020-04-06","VLA"
"1731","2020-04-06","VLA"
"3300","2020-04-06","VLA"
"2620","2020-04-06","VLA"
"8501","2020-04-06","VLA"
"3540","2020-04-06","VLA"
"1440","2020-04-06","WAL"
"9200","2020-04-06","VLA"
"1602","2020-04-06","VLA"
"1760","2020-04-06","VLA"
"3700","2020-04-06","VLA"
"2620","2020-04-06","VLA"
"9032","2020-04-06","VLA"
"2220","2020-04-06","VLA"
"9550","2020-04-06","VLA"
"2930","2020-04-06","VLA"
"3000","2020-04-06","VLA"
"2500","2020-04-06","VLA"
"8600","2020-04-06","VLA"
"8870","2020-04-06","VLA"
"1750","2020-04-06","VLA"
"3746","2020-04-06","VLA"
"1800","2020-04-06","VLA"
"8020","2020-04-06","VLA"
"1700","2020-04-06","VLA"
"8470","2020-04-06","VLA"
"8650","2020-04-06","VLA"
"8560","2020-04-06","VLA"
"3380","2020-04-06","VLA"
"3630","2020-04-06","VLA"
"8560","2020-04-06","VLA"
"1750","2020-04-06","VLA"
"2812","2020-04-06","VLA"
"3130","2020-04-06","VLA"
"8470","2020-04-06","VLA"
"2840","2020-04-06","VLA"
"8377","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"1840","2020-04-06","VLA"
"8020","2020-04-06","VLA"
"8800","2020-04-06","VLA"
"1770","2020-04-06","VLA"
"2850","2020-04-06","VLA"
"2310","2020-04-06","VLA"
"8400","2020-04-06","VLA"
"9550","2020-04-06","VLA"
"9880","2020-04-06","VLA"
"8810","2020-04-06","VLA"
"2275","2020-04-06","VLA"
"3210","2020-04-06","VLA"
"3140","2020-04-06","VLA"
"8840","2020-04-06","VLA"
"3630","2020-04-06","VLA"
"3550","2020-04-06","VLA"
"8000","2020-04-06","VLA"
"3191","2020-04-06","VLA"
"9100","2020-04-06","VLA"
"8501","2020-04-06","VLA"
"9700","2020-04-06","VLA"
"3570","2020-04-06","VLA"
"8400","2020-04-06","VLA"
"8400","2020-04-06","VLA"
"1180","2020-04-06","BRU"
"8310","2020-04-06","VLA"
"2180","2020-04-06","VLA"
"7780","2020-04-06","WAL"
"3530","2020-04-06","VLA"
"9700","2020-04-06","VLA"
"8908","2020-04-06","VLA"
"3590","2020-04-06","VLA"
"3560","2020-04-06","VLA"
"3120","2020-04-06","VLA"
"1790","2020-04-06","VLA"
"2243","2020-04-06","VLA"
"3070","2020-04-06","VLA"
"8400","2020-04-06","VLA"
"3290","2020-04-06","VLA"
"8980","2020-04-06","VLA"
"2220","2020-04-06","VLA"
"2840","2020-04-06","VLA"
"9111","2020-04-06","VLA"
"2440","2020-04-06","VLA"
"3530","2020-04-06","VLA"
"8200","2020-04-06","VLA"
"2860","2020-04-06","VLA"
"2440","2020-04-06","VLA"
"8600","2020-04-06","VLA"
"3110","2020-04-06","VLA"
"8800","2020-04-06","VLA"
"8400","2020-04-06","VLA"
"8800","2020-04-06","VLA"
"8480","2020-04-06","VLA"
"9700","2020-04-06","VLA"
"8680","2020-04-06","VLA"
"8370","2020-04-06","VLA"
"9450","2020-04-06","VLA"
"3660","2020-04-06","VLA"
"3370","2020-04-06","VLA"
"2070","2020-04-06","VLA"
"3201","2020-04-06","VLA"
"3530","2020-04-06","VLA"
"2270","2020-04-06","VLA"
"2800","2020-04-06","VLA"
"2450","2020-04-06","VLA"
"3520","2020-04-06","VLA"
"3550","2020-04-06","VLA"
"8020","2020-04-06","VLA"
"3980","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"1740","2020-04-06","VLA"
"9230","2020-04-06","VLA"
"2620","2020-04-06","VLA"
"1703","2020-04-06","VLA"
"8450","2020-04-06","VLA"
"3202","2020-04-06","VLA"
"2900","2020-04-06","VLA"
"2440","2020-04-06","VLA"
"2540","2020-04-06","VLA"
"2400","2020-04-06","VLA"
"2560","2020-04-06","VLA"
"9660","2020-04-06","VLA"
"3500","2020-04-06","VLA"
"1070","2020-04-06","BRU"
"8520","2020-04-06","VLA"
"8400","2020-04-06","VLA"
"2060","2020-04-06","VLA"
"1800","2020-04-06","VLA"
"9260","2020-04-06","VLA"
"3360","2020-04-06","VLA"
"1730","2020-04-06","VLA"
