"cd_infection_aprons","d_completed","cd_regio"
"","2020-03-25","VLA"
"","2020-03-25","WAL"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","WAL"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","WAL"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","WAL"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-30","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-02","VLA"
"2","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"2","2020-04-03","VLA"
"1","2020-04-03","VLA"
"3","2020-04-03","VLA"
"1","2020-04-03","VLA"
"1","2020-04-03","VLA"
"1","2020-04-03","VLA"
"2","2020-04-03","VLA"
"1","2020-04-03","VLA"
"1","2020-04-03","BRU"
"1","2020-04-03","VLA"
"1","2020-04-03","VLA"
"1","2020-04-03","VLA"
"1","2020-04-03","VLA"
"2","2020-04-03","VLA"
"3","2020-04-03","VLA"
"1","2020-04-04","VLA"
"1","2020-04-04","VLA"
"1","2020-04-05","VLA"
"1","2020-04-05","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-07","VLA"
"1","2020-04-07","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","BRU"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-09","VLA"
"1","2020-04-09","VLA"
"1","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"1","2020-04-09","VLA"
"2","2020-04-09","VLA"
"2","2020-04-09","VLA"
"1","2020-04-09","VLA"
"1","2020-04-09","VLA"
"3","2020-04-09","VLA"
"1","2020-04-10","VLA"
"1","2020-04-10","VLA"
"1","2020-04-10","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"1","2020-04-15","BRU"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-16","VLA"
"3","2020-04-17","VLA"
"3","2020-04-18","VLA"
"2","2020-04-19","VLA"
"2","2020-04-20","VLA"
"1","2020-04-20","VLA"
"3","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"2","2020-04-20","VLA"
"1","2020-04-20","BRU"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"2","2020-04-20","VLA"
"2","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-21","VLA"
"1","2020-04-21","VLA"
"1","2020-04-21","VLA"
"1","2020-04-21","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"2","2020-04-23","VLA"
"2","2020-04-23","VLA"
"2","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"2","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"3","2020-04-27","VLA"
"1","2020-04-27","VLA"
"3","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","BRU"
"1","2020-04-27","VLA"
"3","2020-04-28","VLA"
"2","2020-04-28","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"2","2020-04-28","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","BRU"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","BRU"
"3","2020-04-29","VLA"
"1","2020-04-29","VLA"
"2","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"2","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"2","2020-04-29","VLA"
"1","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-05-01","VLA"
"3","2020-05-02","VLA"
"3","2020-05-04","VLA"
"2","2020-05-04","VLA"
