"tx_measures_support","d_completed","cd_regio"
"Vergoeding telefonische consulten.","2020-03-25","VLA"
"Maskers ffpp3 en short en, telefonische consultaties","2020-03-25","VLA"
"Eenduidigheid - een fijnere samenwerking met het kortstbijzijinde ziekenhuis - betere materiaalvoorziening","2020-03-25","VLA"
"Een persoonlijk telefoon naar iedere praktijk verantwoordelijke zou op z’n minst op zijn plaats zijn door onze beroepsvereniging. Een financiële steun is ook welkom.","2020-03-25","BRU"
"Beschermingsmateriaal zoals mondmaskers, schorten, handalcohol...","2020-03-25","VLA"
"Recht op bescherming-minstens door chirurgische maskers","2020-03-25","VLA"
"Voldoende beschermmateriaal. Ondersteuning voor zelfstandigen die ziek vallen","2020-03-25","VLA"
"Vergoeding voor telefonische consulten + mondmaskers en ontsmettingsalcohol","2020-03-25","VLA"
"dat we jobtime kregen vanuit de overheid om onze beroepsgroep te blijven motiveren.. dat er sneller op onze vragen zou ingespeeld worden en niet de logge administratie dienen te doorlopen.. dat we sterker erkenning en waardering zouden genieten voor hetge","2020-03-25","VLA"
"Voldoende materiaal","2020-03-25","VLA"
"Aangepaste bescherming, nomenclatuur clatuur voor telefonische consulten","2020-03-25","VLA"
"Meer beschermingsmiddelen","2020-03-25","VLA"
"Beschermend materiaal! (Totaal geen overzicht meer in de bedeling ervan: w13, ELZs, etc sturen ons van het kastje naar de muur. Financiële vergoeding voor teleconsulten: ik ben de hele dag in de weer met lange, uitgebreide telefoons, ongeruste mama’s: 0€","2020-03-25","VLA"
"Info , materiaal","2020-03-25","VLA"
"Steun overheid","2020-03-25","VLA"
"beschermend materiaal!!!!!","2020-03-25","VLA"
"Een nomenclatuurnummer voor telefonische consulten","2020-03-25","VLA"
"Voldoende beschermingsmateriaal om veilig te kunnen werken. De 1ste lijn wordt echt vergeten. Ziekenhuizen krijgen voorrang voor al het materiaal maar sturen we hun besmette pat onmiddellijk naar huis en wij moeten die begeleiden zonder beschermingsmat","2020-03-25","VLA"
"Telefonisch consult kunnen aanrekenen, schorten en maskers","2020-03-25","VLA"
"MaskerS, handschoenen, schorten","2020-03-25","VLA"
"Een overheid die onze job als vroedvrouw waardeerde","2020-03-25","VLA"
"mondmaskers en ander beschermend materiaal","2020-03-25","VLA"
"beschikking van materiaal om ons te beschermen, zelf maken van mondmaskers is al ver gekomen, erkenning van ons beroep en functie in deze corona situatie","2020-03-25","VLA"
"Richtlijnen van de overheid, materiaal van de overheid","2020-03-25","VLA"
"Steun van het riziv","2020-03-25","VLA"
"Beschermingsmateriaal!!","2020-03-25","VLA"
"Tarificatie voor telefoonconsulten - beschermingsmateriaal","2020-03-25","VLA"
"Veilig beschermmateriaal,duidelijke info via overheid over zwangerschap en bevzllingcen postpartum in coronatijd, financiële ondersteuning voor telefonische raadplegingen. overheid","2020-03-25","VLA"
"Voldoende beschermingsmaterialen, eenduidige richtlijnen","2020-03-25","VLA"
"Mondmaskers, teleconsult","2020-03-25","WAL"
"Financiële steun","2020-03-25","VLA"
"Mondmasker, handschoenen, vergoeding voor telefonisch consult (dan zou ik minder fysieke consulten doen)","2020-03-25","VLA"
"RIZIV nummer voor telefonische contacten, ffp2 maskers, premie omwille van wegvallen werk","2020-03-25","VLA"
"Beschermend materiaal, extra premie","2020-03-25","VLA"
"Beschermend materiaal ter beschikking stellen","2020-03-25","VLA"
"Materiaal","2020-03-25","VLA"
"Beschermend materiaal, telefonisch vergoeding, risicopremie","2020-03-25","VLA"
"Meer beschermend materiaal","2020-03-25","VLA"
"Materiële steun om veilig te werken (hier is men volop mee bezig)","2020-03-25","VLA"
"ff2 mondmaskers en beschermende kledij","2020-03-25","VLA"
"Beschermingsmateriaal! I acceptabel dat wij vergeten worden door de overheid! Terwijl wij de enige zijn die nog thuis gaan bij jonge gezinnen, en regelmatig zwangeren medisch opvolgen","2020-03-25","BRU"
"Materiaal voorzien","2020-03-25","VLA"
"maskers en erkenning van de vroedvrouw door de overheid","2020-03-25","VLA"
"Middelen om ons te beschermen","2020-03-25","VLA"
"Telefonische consulten vergoeden, compensaties,beschermmateriaal","2020-03-25","VLA"
"Beschermend materiaal voor zorgverleners, compensatie voor tele-consult","2020-03-25","VLA"
"daar wordt aan gewerkt: beschermingsmateriaal en teleconsultvergoeding.","2020-03-25","VLA"
"We worden niet of amper vernoemt bvb bij beschermingsmaatregelen tegen virus","2020-03-25","VLA"
"Premie, teleconsulten kunnen aanrekenen","2020-03-25","VLA"
"Teleconsult mogelijk maken, duidelijke guidelines in samenwerking met Gynaecologen/Pediaters en vroedvrouwen. Beschermend materiaal wanneer de overheid en artsen verwachten dat we neonatale screening verder zitten in besmette gezinnen","2020-03-25","VLA"
"visualiseren van de beroepsgroep in de media - voorzien van PPE","2020-03-25","VLA"
"Duidelijk protocol","2020-03-25","VLA"
"Voldoende ondersteuning naar beschermend materiaal. Wij dragen zorg voor de gezinnen elke dag maar hebben niet de adequate benodigdheden om ons daartegen te beschermen.","2020-03-25","VLA"
"zorg aub voor beschermmateriaal, wij komen zo dicht bij de patiênte bij vb. hulp borstvoeding, wij kunnen geen hulp bieden op 1,5m afstand, telefonsche consult die terugbetaald zouden worden want hier steken we heel veel tijd in.","2020-03-25","VLA"
"Aanzie ons evenwaardig als thuisverpleegkundigen","2020-03-25","VLA"
"Communiceren van duidelijke info over de corona situatie en evolutie met duidelijk advies over de te nemen maatregelen om veilig te blijven werken","2020-03-25","VLA"
"Het gevoel van: er zijn voor elkaar. Dat is heel belangrijk.","2020-03-25","VLA"
"Mondmaskers en beschermende kledij, bril","2020-03-25","VLA"
"Ook recht op beschermingsmateriaal","2020-03-25","VLA"
"een rizivnr voor teleconsulten want als ik bekijk hoeveel uren ik telefonisch bezig ben sinds de coronamaatregelen, het zou echt spijtig zijn mochten dit verloren uren zijn!","2020-03-25","VLA"
"Ondersteuning van alle materialen","2020-03-25","VLA"
"materialen","2020-03-25","VLA"
"Materiaal verdeling","2020-03-25","VLA"
"Herstart gynaecologische consulten voor echo's, beschermingsmateriaal","2020-03-25","VLA"
"Bij verdeling beschermende kledij en mondmaskers de zelfstandige vroedvrouwen NIET vergeten","2020-03-25","VLA"
"amélioration des codes INAMI de prise en charge telephonique et vidéoconférence","2020-03-25","WAL"
"Medisch materiaal","2020-03-25","VLA"
"Dat de vroedvrouw ook door de regeringondersteund wordt en erkend","2020-03-25","VLA"
"Leveren van mondmasker, handschoenen, schort met lange mouwen, beschermingsbril","2020-03-25","VLA"
"Bescherm materiaal","2020-03-25","VLA"
"Beschermende kledij zoals schorten","2020-03-25","VLA"
"Materiaal en financiële ondersteuning","2020-03-25","VLA"
"Extra hulp nr bescherming... schort bril","2020-03-25","VLA"
"Aangepast beschermingsmateriaal","2020-03-25","WAL"
"Verdeling mondmaskers, duidelijke informatie omtrent welke huisbezoeken wel of niet mogen doorgaan","2020-03-25","VLA"
"Het honoreren van onze tele consulten.","2020-03-25","VLA"
"Een beetje gehoor vanuit de overheid! Ben dagelijks bezig met het zoeken naar beschermend materiaal. Meeste werd aangekocht. Hier en daar wat steun via via.","2020-03-25","VLA"
"We hebben nog steeds geen mondmaskers gekregen ter bescherming terwijl verpleegkundigen dit gewoon kunnen afhalen.","2020-03-25","VLA"
"Financiële steun voor videogesprek, mee serieus genomen worden en ook beschermingsmateriaal ter beschikking gesteld krijgen","2020-03-25","VLA"
"een correcte plaats krijgen in de zorg, appreciatie voor ons werk en dus ook het nodige beschermmateriaal","2020-03-25","VLA"
"Beschermingsmateriaal krijgen","2020-03-25","VLA"
