"cd_pharmacy_measures","d_completed","cd_regio"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","BRU"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"11","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","BRU"
"12","2020-03-25","BRU"
"12","2020-03-25","BRU"
"12","2020-03-25","BRU"
"12","2020-03-25","BRU"
"12","2020-03-25","BRU"
"12","2020-03-25","BRU"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
"12","2020-03-25","VLA"
