"nr_num_employees_current","d_completed","cd_regio"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"4","2020-03-25","BRU"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"2","2020-03-25","BRU"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","BRU"
"8","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","BRU"
"7","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","BRU"
"4","2020-03-25","VLA"
"2","2020-03-25","BRU"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","BRU"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","BRU"
"4","2020-03-25","VLA"
"3","2020-03-25","BRU"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"10","2020-03-25","VLA"
"7","2020-03-25","BRU"
"4","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","BRU"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","BRU"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","BRU"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"2","2020-03-25","BRU"
"2","2020-03-25","BRU"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"7","2020-03-25","VLA"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"7","2020-03-25","BRU"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","BRU"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","BRU"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1.5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","BRU"
"5","2020-03-25","VLA"
"12","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","BRU"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"7","2020-03-25","BRU"
"6","2020-03-25","BRU"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","BRU"
"3","2020-03-25","VLA"
"1","2020-03-25","BRU"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","BRU"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","BRU"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"7","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","BRU"
"4","2020-03-25","BRU"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","BRU"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","BRU"
"3","2020-03-25","VLA"
"2.5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0.5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","BRU"
"3","2020-03-25","BRU"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"1.5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"4","2020-03-25","BRU"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","BRU"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1.5","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2.3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","BRU"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-26","WAL"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"4","2020-03-26","VLA"
"4","2020-03-26","VLA"
"1","2020-03-26","WAL"
"4","2020-03-26","WAL"
"7","2020-03-26","WAL"
"4","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"4","2020-03-26","WAL"
"4","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"4","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"5","2020-03-26","VLA"
"9","2020-03-26","BRU"
"6","2020-03-26","WAL"
"6","2020-03-26","VLA"
"5","2020-03-26","VLA"
"3","2020-03-26","VLA"
"4","2020-03-26","WAL"
"4","2020-03-26","VLA"
"5","2020-03-26","WAL"
"2","2020-03-26","WAL"
"2","2020-03-26","VLA"
"4","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"5","2020-03-26","VLA"
"4","2020-03-26","VLA"
"4","2020-03-26","VLA"
"3","2020-03-26","VLA"
"5","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","BRU"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"4","2020-03-26","VLA"
"1.5","2020-03-26","VLA"
"1","2020-03-26","VLA"
"5","2020-03-26","VLA"
"6","2020-03-26","WAL"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"3","2020-03-26","VLA"
"4","2020-03-26","VLA"
"5","2020-03-26","WAL"
"2","2020-03-26","WAL"
"3","2020-03-26","VLA"
"4","2020-03-26","VLA"
"2","2020-03-26","WAL"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","WAL"
"4","2020-03-26","VLA"
"8","2020-03-26","VLA"
"1","2020-03-26","VLA"
"5","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","BRU"
"5","2020-03-26","WAL"
"4","2020-03-26","WAL"
"2","2020-03-26","VLA"
"3","2020-03-26","VLA"
"4","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"04","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"3","2020-03-26","WAL"
"3","2020-03-26","VLA"
"5","2020-03-26","VLA"
"3","2020-03-26","WAL"
"1","2020-03-26","WAL"
"4","2020-03-26","BRU"
"4","2020-03-26","VLA"
