"nr_num_patients_phone_today","d_completed","cd_regio"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","BRU"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","WAL"
"","2020-03-26","BRU"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","WAL"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
