"nr_num_patients_phone_yesterday","d_completed","cd_regio"
"10","2020-03-25","VLA"
"80","2020-03-25","BRU"
"100","2020-03-25","BRU"
"20","2020-03-25","VLA"
"75","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"6","2020-03-25","VLA"
"10","2020-03-25","VLA"
"15","2020-03-25","BRU"
"20","2020-03-25","VLA"
"22","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"20","2020-03-25","VLA"
"50","2020-03-25","BRU"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"40","2020-03-25","BRU"
"20","2020-03-25","BRU"
"20","2020-03-25","VLA"
"20","2020-03-25","BRU"
"80","2020-03-25","VLA"
"12","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"50","2020-03-25","VLA"
"50","2020-03-25","VLA"
"45","2020-03-25","VLA"
"45","2020-03-25","VLA"
"15","2020-03-25","VLA"
"18","2020-03-25","VLA"
"20","2020-03-25","VLA"
"2","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"12","2020-03-25","BRU"
"8","2020-03-25","VLA"
"25","2020-03-25","VLA"
"25","2020-03-25","VLA"
"20","2020-03-25","BRU"
"9","2020-03-25","VLA"
"25","2020-03-25","VLA"
"30","2020-03-25","VLA"
"40","2020-03-25","VLA"
"9","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"40","2020-03-25","BRU"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"50","2020-03-25","VLA"
"19","2020-03-25","BRU"
"60","2020-03-25","VLA"
"8","2020-03-25","VLA"
"15","2020-03-25","BRU"
"8","2020-03-25","VLA"
"15","2020-03-25","VLA"
"25","2020-03-25","VLA"
"10","2020-03-25","VLA"
"60","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"25","2020-03-25","VLA"
"7","2020-03-25","VLA"
"60","2020-03-25","VLA"
"7","2020-03-25","VLA"
"50","2020-03-25","VLA"
"15","2020-03-25","VLA"
"30","2020-03-25","VLA"
"35","2020-03-25","VLA"
"10","2020-03-25","VLA"
"30","2020-03-25","BRU"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"15","2020-03-25","VLA"
"24","2020-03-25","VLA"
"30","2020-03-25","VLA"
"30","2020-03-25","VLA"
"50","2020-03-25","VLA"
"30","2020-03-25","VLA"
"40","2020-03-25","BRU"
"50","2020-03-25","VLA"
"30","2020-03-25","VLA"
"25","2020-03-25","VLA"
"35","2020-03-25","VLA"
"9","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","BRU"
"1","2020-03-25","BRU"
"40","2020-03-25","VLA"
"50","2020-03-25","BRU"
"20","2020-03-25","VLA"
"15","2020-03-25","BRU"
"0","2020-03-25","VLA"
"10","2020-03-25","BRU"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"0","2020-03-25","VLA"
"50","2020-03-25","VLA"
"15","2020-03-25","VLA"
"25","2020-03-25","VLA"
"40","2020-03-25","VLA"
"35","2020-03-25","VLA"
"6","2020-03-25","VLA"
"20","2020-03-25","VLA"
"30","2020-03-25","BRU"
"40","2020-03-25","VLA"
"30","2020-03-25","VLA"
"10","2020-03-25","BRU"
"30","2020-03-25","VLA"
