"nr_num_patients_standard","d_completed","cd_regio"
"120","2020-03-25","BRU"
"150","2020-03-25","VLA"
"100","2020-03-25","VLA"
"200","2020-03-25","VLA"
"130","2020-03-25","VLA"
"180","2020-03-25","VLA"
"65","2020-03-25","VLA"
"65","2020-03-25","BRU"
"80","2020-03-25","BRU"
"35","2020-03-25","VLA"
"90","2020-03-25","VLA"
"100","2020-03-25","VLA"
"100","2020-03-25","VLA"
"70","2020-03-25","VLA"
"140","2020-03-25","VLA"
"70","2020-03-25","VLA"
"55","2020-03-25","BRU"
"100","2020-03-25","VLA"
"3","2020-03-25","VLA"
"140","2020-03-25","VLA"
"90","2020-03-25","VLA"
"100","2020-03-25","VLA"
"170","2020-03-25","VLA"
"100","2020-03-25","VLA"
"90","2020-03-25","VLA"
"150","2020-03-25","VLA"
"115","2020-03-25","VLA"
"110","2020-03-25","VLA"
"60","2020-03-25","VLA"
"100","2020-03-25","VLA"
"80","2020-03-25","VLA"
"0","2020-03-25","BRU"
"100","2020-03-25","BRU"
"50","2020-03-25","VLA"
"75","2020-03-25","VLA"
"110","2020-03-25","VLA"
"90","2020-03-25","VLA"
"70","2020-03-25","VLA"
"340","2020-03-25","VLA"
"120","2020-03-25","BRU"
"100","2020-03-25","BRU"
"75","2020-03-25","VLA"
"120","2020-03-25","VLA"
"130","2020-03-25","VLA"
"50","2020-03-25","VLA"
"60","2020-03-25","VLA"
"60","2020-03-25","BRU"
"150","2020-03-25","VLA"
"100","2020-03-25","VLA"
"220","2020-03-25","VLA"
"120","2020-03-25","VLA"
"150","2020-03-25","BRU"
"120","2020-03-25","BRU"
"150","2020-03-25","VLA"
"55","2020-03-25","VLA"
"47","2020-03-25","VLA"
"65","2020-03-25","VLA"
"70","2020-03-25","VLA"
"60","2020-03-25","VLA"
"110","2020-03-25","VLA"
"70","2020-03-25","VLA"
"165","2020-03-25","VLA"
"70","2020-03-25","VLA"
"90","2020-03-25","VLA"
"210","2020-03-25","BRU"
"130","2020-03-25","BRU"
"160","2020-03-25","VLA"
"80","2020-03-25","VLA"
"125","2020-03-25","VLA"
"90","2020-03-25","VLA"
"90","2020-03-25","VLA"
"80","2020-03-25","VLA"
"55","2020-03-25","VLA"
"120","2020-03-25","VLA"
"90","2020-03-25","VLA"
"110","2020-03-25","VLA"
"80","2020-03-25","VLA"
"60","2020-03-25","VLA"
"70","2020-03-25","VLA"
"110","2020-03-25","VLA"
"125","2020-03-25","VLA"
"100","2020-03-25","BRU"
"100","2020-03-25","BRU"
"70","2020-03-25","VLA"
"150","2020-03-25","VLA"
"120","2020-03-25","VLA"
"200","2020-03-25","VLA"
"100","2020-03-25","VLA"
"80","2020-03-25","BRU"
"60","2020-03-25","BRU"
"100","2020-03-25","VLA"
"125","2020-03-25","VLA"
"70","2020-03-25","VLA"
"200","2020-03-25","BRU"
"100","2020-03-25","BRU"
"80","2020-03-25","BRU"
"115","2020-03-25","BRU"
"80","2020-03-25","VLA"
"140","2020-03-25","VLA"
"200","2020-03-25","VLA"
"75","2020-03-25","VLA"
"85","2020-03-25","VLA"
"100","2020-03-25","VLA"
"110","2020-03-25","VLA"
"45","2020-03-25","VLA"
"125","2020-03-25","VLA"
"115","2020-03-25","VLA"
"60","2020-03-25","VLA"
"180","2020-03-25","VLA"
"80","2020-03-25","BRU"
"55","2020-03-25","BRU"
