"nr_num_infection_gloves","d_completed","cd_regio"
"","2020-03-23","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-24","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-30","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
"","2020-03-31","VLA"
